model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
TaiESM1,ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Emon/ps/gn/v20201124/ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Emon/ps/gn/v20201124/ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,,
TaiESM1,ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,,
TaiESM1,ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.rcec.sinica.edu.tw/thredds/fileServer/my_cmip6_dataroot/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Emon/ps/gn/v20201124/ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,,
TaiESM1,ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Emon/ps/gn/v20201124/ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Emon/ps/gn/v20201124/ps_Emon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/Amon/ps/gn/v20201124/ps_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/ScenarioMIP/AS-RCEC/TaiESM1/ssp245/r1i1p1f1/AERmon/ps/gn/v20201124/ps_AERmon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012.nc,,,,,,,,,,,,
TaiESM1,tas_day_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_00010101-00101231.nc,0.0,1.0,1.0,1.0,1.0,r1i1p1f1,abrupt-4xCO2,tas,gn,day,1.0,10.0
TaiESM1,tas_day_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20210215/tas_day_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_00110101-00201231.nc,1.0,1.0,1.0,1.0,1.0,r1i1p1f1,abrupt-4xCO2,tas,gn,day,11.0,20.0
