,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1850,1949
1,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1950,1999
2,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1850,1949
3,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1950,1999
4,UKESM1-1-LL,ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1850,1949
5,UKESM1-1-LL,ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1950,1999
6,UKESM1-1-LL,ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1850,1949
7,UKESM1-1-LL,ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/AERmon/ps/gn/v20220513/ps_AERmon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1950,1999
8,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-194912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1850,1949
9,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-1-LL/abrupt-4xCO2/r1i1p1f2/Amon/ps/gn/v20220513/ps_Amon_UKESM1-1-LL_abrupt-4xCO2_r1i1p1f2_gn_195001-199912.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,gn,mon,1950,1999
10,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_274301-274912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_274301-274912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_274301-274912.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,2743,2749
11,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_275001-284912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_275001-284912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_275001-284912.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,2750,2849
12,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_285001-294912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_285001-294912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_285001-294912.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,2850,2949
13,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_295001-304912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_295001-304912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_295001-304912.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,2950,3049
14,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_305001-314912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_305001-314912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_305001-314912.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,3050,3149
15,UKESM1-1-LL,ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_315001-320412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_315001-320412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/Amon/ps/gn/v20220505/ps_Amon_UKESM1-1-LL_piControl_r1i1p1f2_gn_315001-320412.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,3150,3204
16,UKESM1-1-LL,ps_AERmon_UKESM1-1-LL_piControl_r1i1p1f2_gn_274301-274912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/AERmon/ps/gn/v20220505/ps_AERmon_UKESM1-1-LL_piControl_r1i1p1f2_gn_274301-274912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/piControl/r1i1p1f2/AERmon/ps/gn/v20220505/ps_AERmon_UKESM1-1-LL_piControl_r1i1p1f2_gn_274301-274912.nc,1,1,1,2,r1i1p1f2,piControl,ps,gn,mon,2743,2749
