model,percentile,alpha_O,alpha_L
ACCESS-CM2,1,0.06529449,0.06829947753699663
ACCESS-CM2,2,0.06529449,0.06829078515867197
ACCESS-CM2,5,0.06529449,0.06823718635454225
ACCESS-CM2,10,0.06529449,0.06812815087865826
ACCESS-CM2,15,0.06529449,0.0680201070577322
ACCESS-CM2,25,0.06529449,0.06782022638068194
ACCESS-CM2,35,0.06529449,0.06764148393483654
ACCESS-CM2,45,0.06529449,0.06744831853150964
ACCESS-CM2,55,0.06529449,0.06722930158510773
ACCESS-CM2,65,0.06529449,0.06698058112410918
ACCESS-CM2,75,0.06529449,0.06664731212805675
ACCESS-CM2,85,0.06529449,0.0661756916521409
ACCESS-CM2,90,0.06529449,0.06586163113002776
ACCESS-CM2,95,0.06529449,0.06543961836464605
ACCESS-CM2,98,0.06529449,0.06504663666447622
ACCESS-CM2,99,0.06529449,0.06479464892757049
