model,percentile,alpha_O,alpha_L
ACCESS-ESM1-5,1,0.06488726,0.06813300156335116
ACCESS-ESM1-5,2,0.06488726,0.0681216440521564
ACCESS-ESM1-5,5,0.06488726,0.0680922224372049
ACCESS-ESM1-5,10,0.06488726,0.06803942260049593
ACCESS-ESM1-5,15,0.06488726,0.0679741106702324
ACCESS-ESM1-5,25,0.06488726,0.06781067818832033
ACCESS-ESM1-5,35,0.06488726,0.06766054810903152
ACCESS-ESM1-5,45,0.06488726,0.06750059745151163
ACCESS-ESM1-5,55,0.06488726,0.06732534071790877
ACCESS-ESM1-5,65,0.06488726,0.06711491577418321
ACCESS-ESM1-5,75,0.06488726,0.0668355889437965
ACCESS-ESM1-5,85,0.06488726,0.0664121823094373
ACCESS-ESM1-5,90,0.06488726,0.06611337961262034
ACCESS-ESM1-5,95,0.06488726,0.06571409085208521
ACCESS-ESM1-5,98,0.06488726,0.06531860586848091
ACCESS-ESM1-5,99,0.06488726,0.06507976984423801
