,model,percentile,alpha_O,alpha_L
0,ACCESS-CM2,1,0.06529449,0.0682994775369966
1,ACCESS-CM2,2,0.06529449,0.0682907851586719
2,ACCESS-CM2,5,0.06529449,0.0682371863545422
3,ACCESS-CM2,10,0.06529449,0.0681281508786582
4,ACCESS-CM2,15,0.06529449,0.0680201070577322
5,ACCESS-CM2,25,0.06529449,0.0678202263806819
6,ACCESS-CM2,35,0.06529449,0.0676414839348365
7,ACCESS-CM2,45,0.06529449,0.0674483185315096
8,ACCESS-CM2,55,0.06529449,0.0672293015851077
9,ACCESS-CM2,65,0.06529449,0.0669805811241091
10,ACCESS-CM2,75,0.06529449,0.0666473121280567
11,ACCESS-CM2,85,0.06529449,0.0661756916521409
12,ACCESS-CM2,90,0.06529449,0.0658616311300277
13,ACCESS-CM2,95,0.06529449,0.065439618364646
14,ACCESS-CM2,98,0.06529449,0.0650466366644762
15,ACCESS-CM2,99,0.06529449,0.0647946489275704
16,ACCESS-ESM1-5,1,0.06488726,0.0681330015633511
17,ACCESS-ESM1-5,2,0.06488726,0.0681216440521564
18,ACCESS-ESM1-5,5,0.06488726,0.0680922224372049
19,ACCESS-ESM1-5,10,0.06488726,0.0680394226004959
20,ACCESS-ESM1-5,15,0.06488726,0.0679741106702324
21,ACCESS-ESM1-5,25,0.06488726,0.0678106781883203
22,ACCESS-ESM1-5,35,0.06488726,0.0676605481090315
23,ACCESS-ESM1-5,45,0.06488726,0.0675005974515116
24,ACCESS-ESM1-5,55,0.06488726,0.0673253407179087
25,ACCESS-ESM1-5,65,0.06488726,0.0671149157741832
26,ACCESS-ESM1-5,75,0.06488726,0.0668355889437965
27,ACCESS-ESM1-5,85,0.06488726,0.0664121823094373
28,ACCESS-ESM1-5,90,0.06488726,0.0661133796126203
29,ACCESS-ESM1-5,95,0.06488726,0.0657140908520852
30,ACCESS-ESM1-5,98,0.06488726,0.0653186058684809
31,ACCESS-ESM1-5,99,0.06488726,0.065079769844238
32,BCC-CSM2-MR,1,0.06326321,0.066559759013229
33,BCC-CSM2-MR,2,0.06326321,0.0665603008023971
34,BCC-CSM2-MR,5,0.06326321,0.0664797583164486
35,BCC-CSM2-MR,10,0.06326321,0.0663763263780152
36,BCC-CSM2-MR,15,0.06326321,0.0662538108048301
37,BCC-CSM2-MR,25,0.06326321,0.0660350483844396
38,BCC-CSM2-MR,35,0.06326321,0.0658155988719002
39,BCC-CSM2-MR,45,0.06326321,0.0655958443756817
40,BCC-CSM2-MR,55,0.06326321,0.0653397755090601
41,BCC-CSM2-MR,65,0.06326321,0.0650293746904265
42,BCC-CSM2-MR,75,0.06326321,0.0646367895641435
43,BCC-CSM2-MR,85,0.06326321,0.0641188104787841
44,BCC-CSM2-MR,90,0.06326321,0.0637954595252715
45,BCC-CSM2-MR,95,0.06326321,0.0633736133653639
46,BCC-CSM2-MR,98,0.06326321,0.0630114645595809
47,BCC-CSM2-MR,99,0.06326321,0.0628235373657544
48,CanESM5,1,0.06568622,0.0702141446010397
49,CanESM5,2,0.06568622,0.0702257932715981
50,CanESM5,5,0.06568622,0.0702031383490871
51,CanESM5,10,0.06568622,0.0701348495861678
52,CanESM5,15,0.06568622,0.0700545118338538
53,CanESM5,25,0.06568622,0.0698897195010959
54,CanESM5,35,0.06568622,0.0697206459434309
55,CanESM5,45,0.06568622,0.0695399542142859
56,CanESM5,55,0.06568622,0.0693267665840744
57,CanESM5,65,0.06568622,0.0690485712523882
58,CanESM5,75,0.06568622,0.0686637066066256
59,CanESM5,85,0.06568622,0.0682107556609752
60,CanESM5,90,0.06568622,0.0680056248294736
61,CanESM5,95,0.06568622,0.0678248676048479
62,CanESM5,98,0.06568622,0.0676620513838292
63,CanESM5,99,0.06568622,0.0675198844585015
64,CESM2-WACCM,1,0.06517446,0.0678100373419216
65,CESM2-WACCM,2,0.06517446,0.0678034670207532
66,CESM2-WACCM,5,0.06517446,0.0677724748174956
67,CESM2-WACCM,10,0.06517446,0.0676760667492283
68,CESM2-WACCM,15,0.06517446,0.0675906551837763
69,CESM2-WACCM,25,0.06517446,0.0674204707958422
70,CESM2-WACCM,35,0.06517446,0.0672693638692017
71,CESM2-WACCM,45,0.06517446,0.0670819537684311
72,CESM2-WACCM,55,0.06517446,0.066883851422779
73,CESM2-WACCM,65,0.06517446,0.0666588950164973
74,CESM2-WACCM,75,0.06517446,0.0663644074155807
