model,percentile,alpha_O,alpha_L
BCC-CSM2-MR,1,0.06326321,0.06655975901322905
BCC-CSM2-MR,2,0.06326321,0.0665603008023971
BCC-CSM2-MR,5,0.06326321,0.06647975831644863
BCC-CSM2-MR,10,0.06326321,0.06637632637801522
BCC-CSM2-MR,15,0.06326321,0.06625381080483017
BCC-CSM2-MR,25,0.06326321,0.06603504838443966
BCC-CSM2-MR,35,0.06326321,0.06581559887190025
BCC-CSM2-MR,45,0.06326321,0.06559584437568176
BCC-CSM2-MR,55,0.06326321,0.06533977550906014
BCC-CSM2-MR,65,0.06326321,0.06502937469042659
BCC-CSM2-MR,75,0.06326321,0.06463678956414358
BCC-CSM2-MR,85,0.06326321,0.06411881047878414
BCC-CSM2-MR,90,0.06326321,0.06379545952527155
BCC-CSM2-MR,95,0.06326321,0.0633736133653639
BCC-CSM2-MR,98,0.06326321,0.06301146455958094
BCC-CSM2-MR,99,0.06326321,0.06282353736575445
