model,percentile,alpha_O,alpha_L
CESM2-WACCM,1,0.06517446,0.06781003734192163
CESM2-WACCM,2,0.06517446,0.06780346702075322
CESM2-WACCM,5,0.06517446,0.06777247481749568
CESM2-WACCM,10,0.06517446,0.0676760667492283
CESM2-WACCM,15,0.06517446,0.06759065518377635
CESM2-WACCM,25,0.06517446,0.06742047079584221
CESM2-WACCM,35,0.06517446,0.06726936386920178
CESM2-WACCM,45,0.06517446,0.06708195376843115
CESM2-WACCM,55,0.06517446,0.06688385142277904
CESM2-WACCM,65,0.06517446,0.06665889501649737
CESM2-WACCM,75,0.06517446,0.06636440741558074
CESM2-WACCM,85,0.06517446,0.06592522109783867
CESM2-WACCM,90,0.06517446,0.06560018153936747
CESM2-WACCM,95,0.06517446,0.06513944449493865
CESM2-WACCM,98,0.06517446,0.06466890793200804
CESM2-WACCM,99,0.06517446,0.06436315547028044
