model,percentile,alpha_O,alpha_L
CNRM-CM6-1,1,0.06550824,0.06855448666118771
CNRM-CM6-1,2,0.06550824,0.06850385256291618
CNRM-CM6-1,5,0.06550824,0.0684232283846773
CNRM-CM6-1,10,0.06550824,0.06829515730337868
CNRM-CM6-1,15,0.06550824,0.06821014443234519
CNRM-CM6-1,25,0.06550824,0.06800783482844663
CNRM-CM6-1,35,0.06550824,0.06778924299327661
CNRM-CM6-1,45,0.06550824,0.06755982111314601
CNRM-CM6-1,55,0.06550824,0.06726590049175268
CNRM-CM6-1,65,0.06550824,0.06694628613519205
CNRM-CM6-1,75,0.06550824,0.06654993816164208
CNRM-CM6-1,85,0.06550824,0.06604460705793115
CNRM-CM6-1,90,0.06550824,0.06572625712930552
CNRM-CM6-1,95,0.06550824,0.06533451064142824
CNRM-CM6-1,98,0.06550824,0.0649809027192974
CNRM-CM6-1,99,0.06550824,0.06474588411064051
