model,percentile,alpha_O,alpha_L
CNRM-ESM2-1,1,0.065476194,0.06855808677481401
CNRM-ESM2-1,2,0.065476194,0.06852188484277737
CNRM-ESM2-1,5,0.065476194,0.06839213158069934
CNRM-ESM2-1,10,0.065476194,0.06821954390428353
CNRM-ESM2-1,15,0.065476194,0.0680882804818652
CNRM-ESM2-1,25,0.065476194,0.06784965613920763
CNRM-ESM2-1,35,0.065476194,0.06760196764715484
CNRM-ESM2-1,45,0.065476194,0.06733932503862343
CNRM-ESM2-1,55,0.065476194,0.06705423465608717
CNRM-ESM2-1,65,0.065476194,0.0667379554298074
CNRM-ESM2-1,75,0.065476194,0.06638458018671137
CNRM-ESM2-1,85,0.065476194,0.06593489278939182
CNRM-ESM2-1,90,0.065476194,0.06566736363763676
CNRM-ESM2-1,95,0.065476194,0.06536241116117815
CNRM-ESM2-1,98,0.065476194,0.06510922933993017
CNRM-ESM2-1,99,0.065476194,0.06496778588700368
