model,percentile,alpha_O,alpha_L
CanESM5,1,0.06568622,0.07021414460103971
CanESM5,2,0.06568622,0.07022579327159816
CanESM5,5,0.06568622,0.0702031383490871
CanESM5,10,0.06568622,0.0701348495861678
CanESM5,15,0.06568622,0.07005451183385386
CanESM5,25,0.06568622,0.06988971950109596
CanESM5,35,0.06568622,0.06972064594343091
CanESM5,45,0.06568622,0.06953995421428592
CanESM5,55,0.06568622,0.06932676658407444
CanESM5,65,0.06568622,0.06904857125238821
CanESM5,75,0.06568622,0.06866370660662569
CanESM5,85,0.06568622,0.06821075566097523
CanESM5,90,0.06568622,0.06800562482947363
CanESM5,95,0.06568622,0.06782486760484793
CanESM5,98,0.06568622,0.0676620513838292
CanESM5,99,0.06568622,0.06751988445850156
