model,percentile,alpha_O,alpha_L
GFDL-CM4,1,0.06512577,0.06794132554773212
GFDL-CM4,2,0.06512577,0.06795270125787505
GFDL-CM4,5,0.06512577,0.06793595926877236
GFDL-CM4,10,0.06512577,0.06785158777095528
GFDL-CM4,15,0.06512577,0.06774006396939776
GFDL-CM4,25,0.06512577,0.06752802008204149
GFDL-CM4,35,0.06512577,0.06731215635397268
GFDL-CM4,45,0.06512577,0.0670838977720638
GFDL-CM4,55,0.06512577,0.0668326720485591
GFDL-CM4,65,0.06512577,0.06650810784666959
GFDL-CM4,75,0.06512577,0.06605124724254223
GFDL-CM4,85,0.06512577,0.06542068059213518
GFDL-CM4,90,0.06512577,0.06503543339045345
GFDL-CM4,95,0.06512577,0.06454327433492638
GFDL-CM4,98,0.06512577,0.06411931744904373
GFDL-CM4,99,0.06512577,0.06390960563133144
