model,percentile,alpha_O,alpha_L
GFDL-ESM4,1,0.06420044,0.06721519863999523
GFDL-ESM4,2,0.06420044,0.0671929336260152
GFDL-ESM4,5,0.06420044,0.06717906392976929
GFDL-ESM4,10,0.06420044,0.0670608328852103
GFDL-ESM4,15,0.06420044,0.06693673350476184
GFDL-ESM4,25,0.06420044,0.06671840465118224
GFDL-ESM4,35,0.06420044,0.06649317581285942
GFDL-ESM4,45,0.06420044,0.06626803573383198
GFDL-ESM4,55,0.06420044,0.06598101236172227
GFDL-ESM4,65,0.06420044,0.06562889337208143
GFDL-ESM4,75,0.06420044,0.06514875308871582
GFDL-ESM4,85,0.06420044,0.06453386901831337
GFDL-ESM4,90,0.06420044,0.06414579073940478
GFDL-ESM4,95,0.06420044,0.06364023729202563
GFDL-ESM4,98,0.06420044,0.06317715143960739
GFDL-ESM4,99,0.06420044,0.06289654858977407
