model,percentile,alpha_O,alpha_L
HadGEM3-GC31-LL,1,0.06573906,0.0693201624575774
HadGEM3-GC31-LL,2,0.06573906,0.06928781426778735
HadGEM3-GC31-LL,5,0.06573906,0.06921971606134593
HadGEM3-GC31-LL,10,0.06573906,0.06908562525609015
HadGEM3-GC31-LL,15,0.06573906,0.06896529179200353
HadGEM3-GC31-LL,25,0.06573906,0.06874169636305742
HadGEM3-GC31-LL,35,0.06573906,0.06853527082775539
HadGEM3-GC31-LL,45,0.06573906,0.06833707538166336
HadGEM3-GC31-LL,55,0.06573906,0.06812160827715022
HadGEM3-GC31-LL,65,0.06573906,0.06788278105485666
HadGEM3-GC31-LL,75,0.06573906,0.06756815243995978
HadGEM3-GC31-LL,85,0.06573906,0.06710374422617885
HadGEM3-GC31-LL,90,0.06573906,0.0667607248033631
HadGEM3-GC31-LL,95,0.06573906,0.06628379361969777
HadGEM3-GC31-LL,98,0.06573906,0.0658268670541274
HadGEM3-GC31-LL,99,0.06573906,0.0655790395428831
