model,percentile,alpha_O,alpha_L
INM-CM5-0,1,0.06382717,0.06588505858715168
INM-CM5-0,2,0.06382717,0.06588295964576343
INM-CM5-0,5,0.06382717,0.0659357183778017
INM-CM5-0,10,0.06382717,0.06598249153381368
INM-CM5-0,15,0.06382717,0.06600150702590012
INM-CM5-0,25,0.06382717,0.0660169719331755
INM-CM5-0,35,0.06382717,0.06601546811021296
INM-CM5-0,45,0.06382717,0.06597311117382619
INM-CM5-0,55,0.06382717,0.06588911125930443
INM-CM5-0,65,0.06382717,0.06572665701841275
INM-CM5-0,75,0.06382717,0.06542136140444886
INM-CM5-0,85,0.06382717,0.06478442705918765
INM-CM5-0,90,0.06382717,0.064354361477711
INM-CM5-0,95,0.06382717,0.06370944542427497
INM-CM5-0,98,0.06382717,0.06316531950958562
INM-CM5-0,99,0.06382717,0.06293081428838693
