model,percentile,alpha_O,alpha_L
KACE-1-0-G,1,0.06526891,0.06721380273088304
KACE-1-0-G,2,0.06526891,0.06719644528971776
KACE-1-0-G,5,0.06526891,0.06714247890114307
KACE-1-0-G,10,0.06526891,0.06702382560327866
KACE-1-0-G,15,0.06526891,0.06690988478680779
KACE-1-0-G,25,0.06526891,0.06669750566431228
KACE-1-0-G,35,0.06526891,0.06650168396269927
KACE-1-0-G,45,0.06526891,0.06629881723330748
KACE-1-0-G,55,0.06526891,0.0660881348837279
KACE-1-0-G,65,0.06526891,0.06587059768228047
KACE-1-0-G,75,0.06526891,0.06561949615954447
KACE-1-0-G,85,0.06526891,0.06529732665984436
KACE-1-0-G,90,0.06526891,0.06508059643527836
KACE-1-0-G,95,0.06526891,0.06476693802370831
KACE-1-0-G,98,0.06526891,0.06446007628598786
KACE-1-0-G,99,0.06526891,0.06428342544344495
