model,percentile,alpha_O,alpha_L
MIROC-ES2L,1,0.064108685,0.06652347155907301
MIROC-ES2L,2,0.064108685,0.0665158240733317
MIROC-ES2L,5,0.064108685,0.06645891936487787
MIROC-ES2L,10,0.064108685,0.06638343998284017
MIROC-ES2L,15,0.064108685,0.0663013634922279
MIROC-ES2L,25,0.064108685,0.06614181507262945
MIROC-ES2L,35,0.064108685,0.06596695215725937
MIROC-ES2L,45,0.064108685,0.06576815758992588
MIROC-ES2L,55,0.064108685,0.065536998120636
MIROC-ES2L,65,0.064108685,0.06521986651019057
MIROC-ES2L,75,0.064108685,0.06478430355193823
MIROC-ES2L,85,0.064108685,0.06423867871788233
MIROC-ES2L,90,0.064108685,0.06389422652608989
MIROC-ES2L,95,0.064108685,0.06342771408090982
MIROC-ES2L,98,0.064108685,0.06294556359948175
MIROC-ES2L,99,0.064108685,0.06262221103917105
