model,percentile,alpha_O,alpha_L
MPI-ESM1-2-LR,1,0.06398433,0.06571345804524838
MPI-ESM1-2-LR,2,0.06398433,0.06579054433510893
MPI-ESM1-2-LR,5,0.06398433,0.06586620488867473
MPI-ESM1-2-LR,10,0.06398433,0.06584857974774373
MPI-ESM1-2-LR,15,0.06398433,0.06579318886089831
MPI-ESM1-2-LR,25,0.06398433,0.06567461101827843
MPI-ESM1-2-LR,35,0.06398433,0.06547159177946614
MPI-ESM1-2-LR,45,0.06398433,0.06521233074022487
MPI-ESM1-2-LR,55,0.06398433,0.06488226765616036
MPI-ESM1-2-LR,65,0.06398433,0.06446262817767007
MPI-ESM1-2-LR,75,0.06398433,0.06391677305195288
MPI-ESM1-2-LR,85,0.06398433,0.06322747772768605
MPI-ESM1-2-LR,90,0.06398433,0.06281086177727051
MPI-ESM1-2-LR,95,0.06398433,0.06228015666940026
MPI-ESM1-2-LR,98,0.06398433,0.06178160979896575
MPI-ESM1-2-LR,99,0.06398433,0.06149196269044887
