model,percentile,alpha_O,alpha_L
MRI-ESM2-0,1,0.06447816,0.06728656202578054
MRI-ESM2-0,2,0.06447816,0.06724008575348375
MRI-ESM2-0,5,0.06447816,0.06717425346184405
MRI-ESM2-0,10,0.06447816,0.06709024495116146
MRI-ESM2-0,15,0.06447816,0.06701259085380638
MRI-ESM2-0,25,0.06447816,0.06682150082181106
MRI-ESM2-0,35,0.06447816,0.0666700008017055
MRI-ESM2-0,45,0.06447816,0.06648056624713199
MRI-ESM2-0,55,0.06447816,0.0662224224691783
MRI-ESM2-0,65,0.06447816,0.06585248774954766
MRI-ESM2-0,75,0.06447816,0.0653074404879
MRI-ESM2-0,85,0.06447816,0.06456430532077509
MRI-ESM2-0,90,0.06447816,0.06411345309270089
MRI-ESM2-0,95,0.06447816,0.06358733199461487
MRI-ESM2-0,98,0.06447816,0.0631447301371759
MRI-ESM2-0,99,0.06447816,0.062894609942988
