model,percentile,alpha_O,alpha_L
UKESM1-0-LL,1,0.06620405,0.06956696136572739
UKESM1-0-LL,2,0.06620405,0.06956318696810607
UKESM1-0-LL,5,0.06620405,0.06949984772533452
UKESM1-0-LL,10,0.06620405,0.06938146628273296
UKESM1-0-LL,15,0.06620405,0.06925492283183426
UKESM1-0-LL,25,0.06620405,0.06901593535470431
UKESM1-0-LL,35,0.06620405,0.0687998222701849
UKESM1-0-LL,45,0.06620405,0.06856940840057527
UKESM1-0-LL,55,0.06620405,0.06833130573403313
UKESM1-0-LL,65,0.06620405,0.06805443683707632
UKESM1-0-LL,75,0.06620405,0.0676990706293636
UKESM1-0-LL,85,0.06620405,0.06718774797083425
UKESM1-0-LL,90,0.06620405,0.06683914932676284
UKESM1-0-LL,95,0.06620405,0.06638198405749052
UKESM1-0-LL,98,0.06620405,0.06598272299524244
UKESM1-0-LL,99,0.06620405,0.06577026606755099
