percentile,model,landOcean,tChange,meanChangeRg,meanChangeAll
1,BCC-CSM2-MR,0,1.63153076171875,1.6282959,1.8321838
2,BCC-CSM2-MR,0,1.62872314453125,1.6282959,1.8321838
5,BCC-CSM2-MR,0,1.626708984375,1.6282959,1.8321838
10,BCC-CSM2-MR,0,1.62762451171875,1.6282959,1.8321838
15,BCC-CSM2-MR,0,1.626007080078125,1.6282959,1.8321838
25,BCC-CSM2-MR,0,1.627410888671875,1.6282959,1.8321838
35,BCC-CSM2-MR,0,1.628143310546875,1.6282959,1.8321838
45,BCC-CSM2-MR,0,1.627655029296875,1.6282959,1.8321838
55,BCC-CSM2-MR,0,1.625274658203125,1.6282959,1.8321838
65,BCC-CSM2-MR,0,1.623046875,1.6282959,1.8321838
75,BCC-CSM2-MR,0,1.623138427734375,1.6282959,1.8321838
85,BCC-CSM2-MR,0,1.619903564453125,1.6282959,1.8321838
90,BCC-CSM2-MR,0,1.614959716796875,1.6282959,1.8321838
95,BCC-CSM2-MR,0,1.60382080078125,1.6282959,1.8321838
98,BCC-CSM2-MR,0,1.593414306640625,1.6282959,1.8321838
99,BCC-CSM2-MR,0,1.59539794921875,1.6282959,1.8321838
1,BCC-CSM2-MR,1,2.493377685546875,2.4943542,1.8321838
2,BCC-CSM2-MR,1,2.4920654296875,2.4943542,1.8321838
5,BCC-CSM2-MR,1,2.493133544921875,2.4943542,1.8321838
10,BCC-CSM2-MR,1,2.498260498046875,2.4943542,1.8321838
15,BCC-CSM2-MR,1,2.506591796875,2.4943542,1.8321838
25,BCC-CSM2-MR,1,2.527435302734375,2.4943542,1.8321838
35,BCC-CSM2-MR,1,2.555419921875,2.4943542,1.8321838
45,BCC-CSM2-MR,1,2.590911865234375,2.4943542,1.8321838
55,BCC-CSM2-MR,1,2.63763427734375,2.4943542,1.8321838
65,BCC-CSM2-MR,1,2.696685791015625,2.4943542,1.8321838
75,BCC-CSM2-MR,1,2.770599365234375,2.4943542,1.8321838
85,BCC-CSM2-MR,1,2.83612060546875,2.4943542,1.8321838
90,BCC-CSM2-MR,1,2.848236083984375,2.4943542,1.8321838
95,BCC-CSM2-MR,1,2.857940673828125,2.4943542,1.8321838
98,BCC-CSM2-MR,1,2.93048095703125,2.4943542,1.8321838
99,BCC-CSM2-MR,1,2.9970703125,2.4943542,1.8321838
