,percentile,model,landOcean,tChange,meanChangeRg,meanChangeAll
0,1,ACCESS-CM2,0,2.4495849609375,2.447876,2.7328491
1,2,ACCESS-CM2,0,2.4521484375,2.447876,2.7328491
2,5,ACCESS-CM2,0,2.453765869140625,2.447876,2.7328491
3,10,ACCESS-CM2,0,2.456756591796875,2.447876,2.7328491
4,15,ACCESS-CM2,0,2.45843505859375,2.447876,2.7328491
5,25,ACCESS-CM2,0,2.462188720703125,2.447876,2.7328491
6,35,ACCESS-CM2,0,2.462158203125,2.447876,2.7328491
7,45,ACCESS-CM2,0,2.4588623046875,2.447876,2.7328491
8,55,ACCESS-CM2,0,2.45379638671875,2.447876,2.7328491
9,65,ACCESS-CM2,0,2.452423095703125,2.447876,2.7328491
10,75,ACCESS-CM2,0,2.4561767578125,2.447876,2.7328491
11,85,ACCESS-CM2,0,2.464874267578125,2.447876,2.7328491
12,90,ACCESS-CM2,0,2.476165771484375,2.447876,2.7328491
13,95,ACCESS-CM2,0,2.50482177734375,2.447876,2.7328491
14,98,ACCESS-CM2,0,2.554412841796875,2.447876,2.7328491
15,99,ACCESS-CM2,0,2.6029052734375,2.447876,2.7328491
16,1,ACCESS-CM2,1,3.671630859375,3.6739502,2.7328491
17,2,ACCESS-CM2,1,3.669708251953125,3.6739502,2.7328491
18,5,ACCESS-CM2,1,3.666748046875,3.6739502,2.7328491
19,10,ACCESS-CM2,1,3.666534423828125,3.6739502,2.7328491
20,15,ACCESS-CM2,1,3.669921875,3.6739502,2.7328491
21,25,ACCESS-CM2,1,3.681427001953125,3.6739502,2.7328491
22,35,ACCESS-CM2,1,3.69781494140625,3.6739502,2.7328491
23,45,ACCESS-CM2,1,3.7281494140625,3.6739502,2.7328491
24,55,ACCESS-CM2,1,3.772552490234375,3.6739502,2.7328491
25,65,ACCESS-CM2,1,3.827972412109375,3.6739502,2.7328491
26,75,ACCESS-CM2,1,3.894989013671875,3.6739502,2.7328491
27,85,ACCESS-CM2,1,3.93853759765625,3.6739502,2.7328491
28,90,ACCESS-CM2,1,3.950775146484375,3.6739502,2.7328491
29,95,ACCESS-CM2,1,4.003204345703125,3.6739502,2.7328491
30,98,ACCESS-CM2,1,4.060638427734375,3.6739502,2.7328491
31,99,ACCESS-CM2,1,4.069854736328125,3.6739502,2.7328491
32,1,ACCESS-ESM1-5,0,2.18109130859375,2.1776428,2.428833
33,2,ACCESS-ESM1-5,0,2.1832275390625,2.1776428,2.428833
34,5,ACCESS-ESM1-5,0,2.188385009765625,2.1776428,2.428833
35,10,ACCESS-ESM1-5,0,2.193695068359375,2.1776428,2.428833
36,15,ACCESS-ESM1-5,0,2.1982421875,2.1776428,2.428833
37,25,ACCESS-ESM1-5,0,2.203369140625,2.1776428,2.428833
38,35,ACCESS-ESM1-5,0,2.205322265625,2.1776428,2.428833
39,45,ACCESS-ESM1-5,0,2.203155517578125,2.1776428,2.428833
40,55,ACCESS-ESM1-5,0,2.196746826171875,2.1776428,2.428833
41,65,ACCESS-ESM1-5,0,2.1888427734375,2.1776428,2.428833
42,75,ACCESS-ESM1-5,0,2.183837890625,2.1776428,2.428833
43,85,ACCESS-ESM1-5,0,2.18096923828125,2.1776428,2.428833
44,90,ACCESS-ESM1-5,0,2.183380126953125,2.1776428,2.428833
45,95,ACCESS-ESM1-5,0,2.20166015625,2.1776428,2.428833
46,98,ACCESS-ESM1-5,0,2.25640869140625,2.1776428,2.428833
47,99,ACCESS-ESM1-5,0,2.326324462890625,2.1776428,2.428833
48,1,ACCESS-ESM1-5,1,3.24334716796875,3.2451782,2.428833
49,2,ACCESS-ESM1-5,1,3.242218017578125,3.2451782,2.428833
50,5,ACCESS-ESM1-5,1,3.238372802734375,3.2451782,2.428833
51,10,ACCESS-ESM1-5,1,3.234344482421875,3.2451782,2.428833
52,15,ACCESS-ESM1-5,1,3.236907958984375,3.2451782,2.428833
53,25,ACCESS-ESM1-5,1,3.258087158203125,3.2451782,2.428833
54,35,ACCESS-ESM1-5,1,3.298095703125,3.2451782,2.428833
55,45,ACCESS-ESM1-5,1,3.36212158203125,3.2451782,2.428833
56,55,ACCESS-ESM1-5,1,3.4515380859375,3.2451782,2.428833
57,65,ACCESS-ESM1-5,1,3.576751708984375,3.2451782,2.428833
58,75,ACCESS-ESM1-5,1,3.750396728515625,3.2451782,2.428833
59,85,ACCESS-ESM1-5,1,3.965850830078125,3.2451782,2.428833
60,90,ACCESS-ESM1-5,1,4.051116943359375,3.2451782,2.428833
61,95,ACCESS-ESM1-5,1,4.1197509765625,3.2451782,2.428833
62,98,ACCESS-ESM1-5,1,4.178802490234375,3.2451782,2.428833
63,99,ACCESS-ESM1-5,1,4.215606689453125,3.2451782,2.428833
64,1,BCC-CSM2-MR,0,1.63153076171875,1.6282959,1.8321838
65,2,BCC-CSM2-MR,0,1.62872314453125,1.6282959,1.8321838
66,5,BCC-CSM2-MR,0,1.626708984375,1.6282959,1.8321838
67,10,BCC-CSM2-MR,0,1.62762451171875,1.6282959,1.8321838
68,15,BCC-CSM2-MR,0,1.626007080078125,1.6282959,1.8321838
69,25,BCC-CSM2-MR,0,1.627410888671875,1.6282959,1.8321838
70,35,BCC-CSM2-MR,0,1.628143310546875,1.6282959,1.8321838
71,45,BCC-CSM2-MR,0,1.627655029296875,1.6282959,1.8321838
72,55,BCC-CSM2-MR,0,1.625274658203125,1.6282959,1.8321838
73,65,BCC-CSM2-MR,0,1.623046875,1.6282959,1.8321838
74,75,BCC-CSM2-MR,0,1.623138427734375,1.6282959,1.8321838
75,85,BCC-CSM2-MR,0,1.619903564453125,1.6282959,1.8321838
76,90,BCC-CSM2-MR,0,1.614959716796875,1.6282959,1.8321838
77,95,BCC-CSM2-MR,0,1.60382080078125,1.6282959,1.8321838
78,98,BCC-CSM2-MR,0,1.593414306640625,1.6282959,1.8321838
79,99,BCC-CSM2-MR,0,1.59539794921875,1.6282959,1.8321838
80,1,BCC-CSM2-MR,1,2.493377685546875,2.4943542,1.8321838
81,2,BCC-CSM2-MR,1,2.4920654296875,2.4943542,1.8321838
82,5,BCC-CSM2-MR,1,2.493133544921875,2.4943542,1.8321838
83,10,BCC-CSM2-MR,1,2.498260498046875,2.4943542,1.8321838
84,15,BCC-CSM2-MR,1,2.506591796875,2.4943542,1.8321838
85,25,BCC-CSM2-MR,1,2.527435302734375,2.4943542,1.8321838
86,35,BCC-CSM2-MR,1,2.555419921875,2.4943542,1.8321838
