,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,BCC-CSM2-MR,1,0.012646359391510487,0.01604994758963585,0.014141206629574299,0.017976189032197,298.5750427246094,300.7535705566406,301.06842041015625,302.3851013183594
1,BCC-CSM2-MR,2,0.012701854109764099,0.0160929337143898,0.014199414290487766,0.018026582896709442,298.6996765136719,300.815673828125,301.1917419433594,302.44439697265625
2,BCC-CSM2-MR,5,0.012850535102188587,0.01620587706565857,0.01434890367090702,0.01815646141767502,298.982666015625,300.9631042480469,301.4757995605469,302.5898132324219
3,BCC-CSM2-MR,10,0.013014452531933784,0.01637864112854004,0.014505372382700443,0.01835067756474018,299.3602294921875,301.1610107421875,301.8584899902344,302.78863525390625
4,BCC-CSM2-MR,15,0.013122321106493473,0.01653638295829296,0.01460027601569891,0.018526002764701843,299.69000244140625,301.3314514160156,302.19659423828125,302.95745849609375
5,BCC-CSM2-MR,25,0.013224161230027676,0.01682204008102417,0.014657805673778057,0.018844008445739746,300.2872009277344,301.63232421875,302.81463623046875,303.2597351074219
6,BCC-CSM2-MR,35,0.01318930834531784,0.01707538589835167,0.014562921598553658,0.019124140962958336,300.8562927246094,301.90643310546875,303.4117126464844,303.5345764160156
7,BCC-CSM2-MR,45,0.01303126011043787,0.017297202721238136,0.014325813390314579,0.01936989277601242,301.43804931640625,302.1661376953125,304.0289611816406,303.7937927246094
8,BCC-CSM2-MR,55,0.01272690948098898,0.017492355778813362,0.013923165388405323,0.019585290923714638,302.0726623535156,302.4219055175781,304.7102966308594,304.04718017578125
9,BCC-CSM2-MR,65,0.012234640307724476,0.01766524836421013,0.013311607763171196,0.019773920997977257,302.8127136230469,302.6818542480469,305.5093994140625,304.3049011230469
10,BCC-CSM2-MR,75,0.011423283256590366,0.01781836710870266,0.012384021654725075,0.01993633061647415,303.7502136230469,302.953857421875,306.52081298828125,304.5769958496094
11,BCC-CSM2-MR,85,0.010102625004947186,0.017964588478207588,0.011103522032499313,0.020068442448973656,305.10601806640625,303.2613220214844,307.942138671875,304.8812255859375
12,BCC-CSM2-MR,90,0.009270599111914635,0.018040856346488,0.0103129418566823,0.020121419802308083,306.1037902832031,303.4502868652344,308.9520263671875,305.06524658203125
13,BCC-CSM2-MR,95,0.008331266231834888,0.018121842294931412,0.009372588247060776,0.02015784941613674,307.57281494140625,303.70989990234375,310.4307556152344,305.313720703125
14,BCC-CSM2-MR,98,0.007661355659365654,0.018175864592194557,0.008614233694970608,0.02015293389558792,309.0206604003906,303.9881896972656,311.9511413574219,305.58160400390625
15,BCC-CSM2-MR,99,0.00732873659580946,0.01817287690937519,0.008197244256734848,0.020100153982639313,309.85174560546875,304.1766052246094,312.84881591796875,305.7720031738281
