,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,CESM2-WACCM,1,0.013265592977404594,0.017392152920365334,0.015403401106595993,0.02037939615547657,298.70751953125,299.2946472167969,301.9063720703125,301.8085021972656
1,CESM2-WACCM,2,0.01332692801952362,0.017455458641052246,0.015470041893422604,0.02044900692999363,298.8309020996094,299.3662109375,302.0281982421875,301.8756408691406
2,CESM2-WACCM,5,0.013497374020516872,0.017624150961637497,0.01564677618443966,0.02063394896686077,299.11737060546875,299.5423278808594,302.31158447265625,302.041259765625
3,CESM2-WACCM,10,0.013722345232963562,0.017868682742118835,0.015867406502366066,0.020900338888168335,299.494873046875,299.7735290527344,302.691162109375,302.26171875
4,CESM2-WACCM,15,0.013899566605687141,0.0180831141769886,0.01602337136864662,0.021134275943040848,299.8093566894531,299.96429443359375,303.01226806640625,302.4455871582031
5,CESM2-WACCM,25,0.014104515314102173,0.018455909565091133,0.016141315922141075,0.02154439501464367,300.3470458984375,300.27923583984375,303.5738525390625,302.7482604980469
6,CESM2-WACCM,35,0.014138094149529934,0.018783384934067726,0.016043635085225105,0.02189847268164158,300.8445129394531,300.5461730957031,304.1087646484375,303.00213623046875
7,CESM2-WACCM,45,0.013992982916533947,0.019068144261837006,0.015749525278806686,0.022188954055309296,301.3551025390625,300.7847900390625,304.6737365722656,303.2258605957031
8,CESM2-WACCM,55,0.01366403792053461,0.019311297684907913,0.015277919359505177,0.022419551387429237,301.9285888671875,301.0112609863281,305.3171081542969,303.43609619140625
9,CESM2-WACCM,65,0.01313624158501625,0.01952844299376011,0.014650247991085052,0.02261197753250599,302.6214904785156,301.2395935058594,306.09716796875,303.6490783691406
10,CESM2-WACCM,75,0.012376337312161922,0.019729048013687134,0.013851184397935867,0.022774137556552887,303.527099609375,301.4885559082031,307.1115417480469,303.8846435546875
11,CESM2-WACCM,85,0.011361339129507542,0.019910091534256935,0.012723349034786224,0.022904280573129654,304.8451843261719,301.7939147949219,308.5782775878906,304.1847229003906
12,CESM2-WACCM,90,0.010704993270337582,0.019988873973488808,0.011991793289780617,0.022955626249313354,305.80767822265625,302.0019836425781,309.6361083984375,304.39739990234375
13,CESM2-WACCM,95,0.00995947141200304,0.02004878595471382,0.011212142184376717,0.022992704063653946,307.22088623046875,302.326904296875,311.1365966796875,304.7445373535156
14,CESM2-WACCM,98,0.009353356435894966,0.020019885152578354,0.01050559151917696,0.022969873622059822,308.6444091796875,302.75946044921875,312.6180114746094,305.2363586425781
15,CESM2-WACCM,99,0.008959686383605003,0.019903801381587982,0.010094148106873035,0.02287338860332966,309.4847717285156,303.139892578125,313.4781494140625,305.68988037109375
