,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,GFDL-CM4,1,0.012466952204704285,0.015993831679224968,0.014215387403964996,0.018126821145415306,296.6651306152344,298.3399353027344,299.3423156738281,300.2733459472656
1,GFDL-CM4,2,0.012529851868748665,0.016052111983299255,0.01428094133734703,0.01819460280239582,296.7972106933594,298.40606689453125,299.47186279296875,300.3429870605469
2,GFDL-CM4,5,0.012692635878920555,0.016208333894610405,0.01444999873638153,0.0183756984770298,297.1046447753906,298.57330322265625,299.775146484375,300.5177917480469
3,GFDL-CM4,10,0.01290979702025652,0.016436778008937836,0.01467201765626669,0.01863698661327362,297.51763916015625,298.8057556152344,300.18841552734375,300.7586669921875
4,GFDL-CM4,15,0.013079916127026081,0.016638129949569702,0.014843225479125977,0.0188668891787529,297.8734436035156,299.00225830078125,300.55059814453125,300.96453857421875
5,GFDL-CM4,25,0.013309076428413391,0.016982076689600945,0.015065178275108337,0.019258007407188416,298.5071105957031,299.3341369628906,301.2061462402344,301.30865478515625
6,GFDL-CM4,35,0.013405386358499527,0.01726653054356575,0.015136700123548508,0.01957830600440502,299.09722900390625,299.6167297363281,301.8299865722656,301.6014709472656
7,GFDL-CM4,45,0.01334487646818161,0.01751193031668663,0.015036363154649734,0.01985245570540428,299.694091796875,299.8741455078125,302.4743347167969,301.86651611328125
8,GFDL-CM4,55,0.013091177679598331,0.017731234431266785,0.014726328663527966,0.020095806568861008,300.35009765625,300.1206359863281,303.1938171386719,302.1194152832031
9,GFDL-CM4,65,0.012552608735859394,0.017933664843440056,0.014102314598858356,0.020317906513810158,301.1397399902344,300.3678894042969,304.067626953125,302.3739929199219
10,GFDL-CM4,75,0.01154986210167408,0.018129803240299225,0.0129950987175107,0.020531034097075462,302.2034912109375,300.6351318359375,305.24395751953125,302.6501770019531
11,GFDL-CM4,85,0.010131094604730606,0.018326129764318466,0.011636404320597649,0.020744260400533676,303.8154602050781,300.9591064453125,306.9793701171875,302.9899597167969
12,GFDL-CM4,90,0.00947357714176178,0.018430903553962708,0.011005552485585213,0.020868102088570595,304.9580383300781,301.17822265625,308.1729431152344,303.22686767578125
13,GFDL-CM4,95,0.008745280094444752,0.018567726016044617,0.010245034471154213,0.021050726994872093,306.5621032714844,301.5295104980469,309.84246826171875,303.6194763183594
14,GFDL-CM4,98,0.008300665766000748,0.018720611929893494,0.009733564220368862,0.021281598135828972,308.13482666015625,302.04022216796875,311.50067138671875,304.1966552734375
15,GFDL-CM4,99,0.008069447241723537,0.018818771466612816,0.009474056772887707,0.0214411411434412,309.0185852050781,302.5256042480469,312.4493713378906,304.7204895019531
