,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,GFDL-ESM4,1,0.01280470471829176,0.016478607431054115,0.014152157120406628,0.01827389746904373,297.2261962890625,298.83599853515625,299.57550048828125,300.4327392578125
1,GFDL-ESM4,2,0.012867673300206661,0.016536710783839226,0.014218278229236603,0.01833842508494854,297.35894775390625,298.8995666503906,299.7076721191406,300.49737548828125
2,GFDL-ESM4,5,0.013031971640884876,0.016692472621798515,0.014386637136340141,0.018511919304728508,297.6634521484375,299.06048583984375,300.00982666015625,300.6641845703125
3,GFDL-ESM4,10,0.013240859843790531,0.016919409856200218,0.014590607024729252,0.018763866275548935,298.0665588378906,299.28289794921875,300.4164733886719,300.89166259765625
4,GFDL-ESM4,15,0.013393584638834,0.017116554081439972,0.014736751094460487,0.018983449786901474,298.4127502441406,299.4701843261719,300.7708740234375,301.0824890136719
5,GFDL-ESM4,25,0.013589509762823582,0.017448710277676582,0.014905529096722603,0.019351523369550705,299.0311279296875,299.7845458984375,301.4107360839844,301.4027099609375
6,GFDL-ESM4,35,0.01363934576511383,0.017721517011523247,0.014909480698406696,0.019652223214507103,299.61749267578125,300.0525817871094,302.0273132324219,301.6756286621094
7,GFDL-ESM4,45,0.013526150025427341,0.017954913899302483,0.014738841913640499,0.01990596018731594,300.22650146484375,300.29815673828125,302.67620849609375,301.9216613769531
8,GFDL-ESM4,55,0.013211473822593689,0.018161101266741753,0.01434925477951765,0.02012399025261402,300.9094543457031,300.5330810546875,303.4136657714844,302.1553649902344
9,GFDL-ESM4,65,0.012608356773853302,0.018348542973399162,0.013663100078701973,0.020317578688263893,301.7437438964844,300.7681884765625,304.319580078125,302.3893127441406
10,GFDL-ESM4,75,0.011619825847446918,0.018526114523410797,0.012624114751815796,0.020496491342782974,302.8605651855469,301.0204772949219,305.5300598144531,302.6414794921875
11,GFDL-ESM4,85,0.010470434091985226,0.018706584349274635,0.011542127467691898,0.020673543214797974,304.47515869140625,301.32855224609375,307.2447204589844,302.9533996582031
12,GFDL-ESM4,90,0.009903600439429283,0.018806561827659607,0.01097501628100872,0.02077602781355381,305.5819396972656,301.53961181640625,308.408935546875,303.1717834472656
13,GFDL-ESM4,95,0.009254129603505135,0.01894081011414528,0.010345304384827614,0.02092902734875679,307.1210632324219,301.8808898925781,310.0191650390625,303.5367431640625
14,GFDL-ESM4,98,0.00877580139786005,0.019089577719569206,0.009855241514742374,0.02113620936870575,308.6439514160156,302.3758544921875,311.5986633300781,304.08087158203125
15,GFDL-ESM4,99,0.00850114319473505,0.019181491807103157,0.009527729824185371,0.021281210705637932,309.53936767578125,302.8504943847656,312.5317687988281,304.5827331542969
