,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,INM-CM5-0,1,0.01371021382510662,0.01555520761758089,0.015046401880681515,0.016932794824242592,297.1732177734375,298.4064025878906,298.8911437988281,299.7505187988281
1,INM-CM5-0,2,0.013778245076537132,0.015601723454892635,0.01511591300368309,0.016983143985271454,297.28045654296875,298.46539306640625,298.9971618652344,299.80908203125
2,INM-CM5-0,5,0.013967865146696568,0.01571972295641899,0.01531156711280346,0.01711052469909191,297.5421447753906,298.6137390136719,299.25177001953125,299.95733642578125
3,INM-CM5-0,10,0.014230143278837204,0.015878133475780487,0.015554244630038738,0.01727813482284546,297.8768310546875,298.81658935546875,299.57550048828125,300.15899658203125
4,INM-CM5-0,15,0.014412734657526016,0.01601296477019787,0.015711920335888863,0.017417099326848984,298.1524963378906,298.9884338378906,299.84515380859375,300.3272399902344
5,INM-CM5-0,25,0.014654266647994518,0.01623685471713543,0.015905536711215973,0.017644379287958145,298.62847900390625,299.2691650390625,300.3174133300781,300.6040954589844
6,INM-CM5-0,35,0.014771374873816967,0.016399532556533813,0.01595422811806202,0.017811480909585953,299.0648498535156,299.49420166015625,300.76287841796875,300.8270263671875
7,INM-CM5-0,45,0.0147281214594841,0.016520941630005836,0.015828778967261314,0.01793731562793255,299.5107116699219,299.6934814453125,301.2340393066406,301.0240173339844
8,INM-CM5-0,55,0.014501415193080902,0.01662364788353443,0.01551700010895729,0.018040401861071587,300.0184631347656,299.8864440917969,301.7848815917969,301.21527099609375
9,INM-CM5-0,65,0.014044836163520813,0.016718078404664993,0.014947968535125256,0.0181307140737772,300.656005859375,300.08984375,302.4880065917969,301.4150390625
10,INM-CM5-0,75,0.013243133202195168,0.016807349398732185,0.013995091430842876,0.01820780150592327,301.5434265136719,300.3232421875,303.48193359375,301.6434326171875
11,INM-CM5-0,85,0.011918432079255581,0.016887782141566277,0.012845989316701889,0.018258359283208847,302.9737854003906,300.6300354003906,305.0932922363281,301.9443664550781
12,INM-CM5-0,90,0.011470239609479904,0.016917891800403595,0.01255172397941351,0.018257945775985718,304.1125183105469,300.85308837890625,306.3482360839844,302.1663513183594
13,INM-CM5-0,95,0.011072099208831787,0.01691836677491665,0.012230414897203445,0.01821831241250038,305.8310241699219,301.2309875488281,308.2635192871094,302.5533447265625
14,INM-CM5-0,98,0.01079932227730751,0.016875313594937325,0.011984311044216156,0.018173297867178917,307.5311279296875,301.8135986328125,310.13482666015625,303.17431640625
15,INM-CM5-0,99,0.010725242085754871,0.016846703365445137,0.012033541686832905,0.018198076635599136,308.4505615234375,302.4127502441406,311.0998229980469,303.83526611328125
