,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,MIROC-ES2L,1,0.014058444648981094,0.017046459019184113,0.015900656580924988,0.01900704950094223,298.44708251953125,299.2221984863281,300.5997009277344,300.88482666015625
1,MIROC-ES2L,2,0.014103079214692116,0.017095424234867096,0.01594715565443039,0.019063754007220268,298.5336608886719,299.2711181640625,300.6861572265625,300.93646240234375
2,MIROC-ES2L,5,0.014215595088899136,0.01722670905292034,0.01605893112719059,0.019213799387216568,298.7536315917969,299.39703369140625,300.90802001953125,301.06903076171875
3,MIROC-ES2L,10,0.014326546341180801,0.01741667091846466,0.016153275966644287,0.01943156123161316,299.0605773925781,299.572021484375,301.2203063964844,301.2527770996094
4,MIROC-ES2L,15,0.014375978149473667,0.017583850771188736,0.01618184894323349,0.019621659070253372,299.3365478515625,299.7240295410156,301.5042724609375,301.4120788574219
5,MIROC-ES2L,25,0.014372105710208416,0.017865099012851715,0.016124438494443893,0.019941076636314392,299.85546875,299.98736572265625,302.0445556640625,301.6857604980469
6,MIROC-ES2L,35,0.014231032691895962,0.018088435754179955,0.01591496355831623,0.02018755115568638,300.37701416015625,300.2223205566406,302.5965881347656,301.9245910644531
7,MIROC-ES2L,45,0.013952834531664848,0.01827276684343815,0.015555514954030514,0.02038072794675827,300.947021484375,300.4501647949219,303.2068786621094,302.1504821777344
8,MIROC-ES2L,55,0.013523112051188946,0.018435660749673843,0.015024149790406227,0.020538635551929474,301.60919189453125,300.6849060058594,303.9205322265625,302.3792724609375
9,MIROC-ES2L,65,0.012897982262074947,0.0185836348682642,0.014266833662986755,0.020670389756560326,302.420166015625,300.9430236816406,304.8036804199219,302.6280517578125
10,MIROC-ES2L,75,0.012020631693303585,0.01871287077665329,0.013326849788427353,0.020772092044353485,303.4830322265625,301.2473449707031,305.9681091308594,302.9198303222656
11,MIROC-ES2L,85,0.010893454775214195,0.018796278163790703,0.012240190990269184,0.020812662318348885,305.0053405761719,301.65875244140625,307.616943359375,303.3158874511719
12,MIROC-ES2L,90,0.010079175233840942,0.01879206672310829,0.011452067643404007,0.02077299728989601,306.08740234375,301.96319580078125,308.78759765625,303.6128234863281
13,MIROC-ES2L,95,0.008873555809259415,0.01865430921316147,0.010274629108607769,0.020562689751386642,307.63677978515625,302.4770202636719,310.4917297363281,304.1247253417969
14,MIROC-ES2L,98,0.007802069187164307,0.01811748929321766,0.009136936627328396,0.019902564585208893,309.1744689941406,303.23052978515625,312.1822814941406,304.9015197753906
15,MIROC-ES2L,99,0.007295014336705208,0.01725834049284458,0.008627379313111305,0.01893867924809456,310.0832824707031,303.941162109375,313.1147155761719,305.6614685058594
