,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,NorESM2-LM,1,0.012694391421973705,0.01703825779259205,0.014163683168590069,0.018921878188848495,298.54559326171875,299.4384460449219,300.9351806640625,301.0455017089844
1,NorESM2-LM,2,0.012757064774632454,0.017091212794184685,0.014233537018299103,0.018983952701091766,298.6611633300781,299.5010986328125,301.0507507324219,301.1119384765625
2,NorESM2-LM,5,0.012932218611240387,0.017240602523088455,0.014422650448977947,0.01915503293275833,298.9501037597656,299.6600341796875,301.3381652832031,301.2845458984375
3,NorESM2-LM,10,0.013187715783715248,0.017466306686401367,0.014682209119200706,0.019410034641623497,299.3311767578125,299.8780212402344,301.7172546386719,301.5210266113281
4,NorESM2-LM,15,0.01336604356765747,0.017669187858700752,0.014838876202702522,0.019638482481241226,299.64324951171875,300.0612487792969,302.0342102050781,301.719482421875
5,NorESM2-LM,25,0.01354625727981329,0.01802915707230568,0.014965783804655075,0.020043713971972466,300.17901611328125,300.369873046875,302.5917053222656,302.048828125
6,NorESM2-LM,35,0.013533067889511585,0.018344556912779808,0.014874695800244808,0.020390694960951805,300.673583984375,300.6331481933594,303.1243896484375,302.3219909667969
7,NorESM2-LM,45,0.013353642076253891,0.01861296035349369,0.014624325558543205,0.02067783661186695,301.1815490722656,300.86749267578125,303.6851806640625,302.5592346191406
8,NorESM2-LM,55,0.013023937121033669,0.018841182813048363,0.014232638292014599,0.020914722234010696,301.74371337890625,301.08966064453125,304.31353759765625,302.7816162109375
9,NorESM2-LM,65,0.012520176358520985,0.01904132589697838,0.01369463000446558,0.0211190152913332,302.4069519042969,301.314697265625,305.0604248046875,303.0059814453125
10,NorESM2-LM,75,0.011793803423643112,0.019220756366848946,0.012958085164427757,0.021294206380844116,303.2528381347656,301.5615234375,306.01904296875,303.2535400390625
11,NorESM2-LM,85,0.010808739811182022,0.019378570839762688,0.011961103416979313,0.021432461217045784,304.4649353027344,301.87237548828125,307.3914794921875,303.56884765625
12,NorESM2-LM,90,0.010243656113743782,0.019438818097114563,0.011339814402163029,0.021474840119481087,305.34002685546875,302.0921325683594,308.37359619140625,303.7965087890625
13,NorESM2-LM,95,0.009620475582778454,0.01943875290453434,0.010620752349495888,0.021449673920869827,306.61944580078125,302.45263671875,309.7810363769531,304.1813659667969
14,NorESM2-LM,98,0.009101483039557934,0.019249968230724335,0.009954863227903843,0.021252628415822983,307.95782470703125,302.9726867675781,311.1921081542969,304.759765625
15,NorESM2-LM,99,0.008795185014605522,0.0189397893846035,0.009562811814248562,0.020974844694137573,308.7906799316406,303.45977783203125,312.03826904296875,305.32672119140625
