,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,UKESM1-0-LL,1,0.012638022191822529,0.016120463609695435,0.015165049582719803,0.019349513575434685,298.4362487792969,299.17578125,302.70135498046875,302.0701599121094
1,UKESM1-0-LL,2,0.01270805299282074,0.01617233082652092,0.015241243876516819,0.019412895664572716,298.56549072265625,299.2418518066406,302.82781982421875,302.1352233886719
2,UKESM1-0-LL,5,0.01289579551666975,0.01631258800625801,0.015443412587046623,0.019581547006964684,298.86138916015625,299.4104309082031,303.12176513671875,302.3026428222656
3,UKESM1-0-LL,10,0.013131419196724892,0.01651792600750923,0.01568596437573433,0.019824568182229996,299.25225830078125,299.6394958496094,303.5152893066406,302.5350341796875
4,UKESM1-0-LL,15,0.013288101181387901,0.01669597066938877,0.015834469348192215,0.020037462934851646,299.5896911621094,299.83447265625,303.8606262207031,302.7322998046875
5,UKESM1-0-LL,25,0.013479115441441536,0.016996927559375763,0.015992678701877594,0.020398564636707306,300.1942138671875,300.1611022949219,304.48895263671875,303.0643615722656
6,UKESM1-0-LL,35,0.013551022857427597,0.01724408008158207,0.015990613028407097,0.020693643018603325,300.75152587890625,300.44146728515625,305.0772399902344,303.3441162109375
7,UKESM1-0-LL,45,0.013422287069261074,0.01744954101741314,0.015761781483888626,0.02093031257390976,301.3021240234375,300.6970520019531,305.6719970703125,303.5956726074219
8,UKESM1-0-LL,55,0.013060463592410088,0.017626961693167686,0.015322146005928516,0.021127061918377876,301.89794921875,300.9467468261719,306.32220458984375,303.837158203125
9,UKESM1-0-LL,65,0.01242586225271225,0.017787549644708633,0.014658810570836067,0.021301710978150368,302.59637451171875,301.2042541503906,307.0786437988281,304.088134765625
10,UKESM1-0-LL,75,0.011397164314985275,0.017938503995537758,0.013686958700418472,0.021466676145792007,303.48663330078125,301.4867858886719,308.0170593261719,304.3694763183594
11,UKESM1-0-LL,85,0.009844638407230377,0.01809794269502163,0.012302404269576073,0.021625658497214317,304.7481689453125,301.84002685546875,309.2783508300781,304.7310791015625
12,UKESM1-0-LL,90,0.008926997892558575,0.01820293255150318,0.011410076171159744,0.021721655502915382,305.62530517578125,302.0887451171875,310.1273498535156,304.9935302734375
13,UKESM1-0-LL,95,0.00781062338501215,0.0183783657848835,0.010210343636572361,0.021898293867707253,306.8408508300781,302.49853515625,311.3190612792969,305.4405517578125
14,UKESM1-0-LL,98,0.006698139011859894,0.018637776374816895,0.008898833766579628,0.022134903818368912,308.0498352050781,303.08746337890625,312.5538330078125,306.0928649902344
15,UKESM1-0-LL,99,0.005976258311420679,0.01879720762372017,0.008056588470935822,0.022263305261731148,308.78900146484375,303.6211853027344,313.3262023925781,306.67474365234375
