Unnamed: 0,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,ACCESS-CM2,1,0.011970960535109,0.0165032502263784,0.0141523974016308,0.0192735288292169,298.6867980957031,299.6121826171875,302.3584289550781,302.061767578125
1,ACCESS-CM2,2,0.0120302252471446,0.0165573507547378,0.0142132434993982,0.0193374566733837,298.8158569335937,299.673095703125,302.4855651855469,302.125244140625
2,ACCESS-CM2,5,0.0121807474642992,0.0166991353034973,0.0143669117242097,0.0195040926337242,299.108154296875,299.828125,302.77490234375,302.2818908691406
3,ACCESS-CM2,10,0.0123572284355759,0.0169005114585161,0.0145263317972421,0.0197368972003459,299.49285888671875,300.03759765625,303.1593933105469,302.4943542480469
4,ACCESS-CM2,15,0.0124642383307218,0.0170733127743005,0.0146092381328344,0.0199358649551868,299.82769775390625,300.2156677246094,303.49761962890625,302.6741027832031
5,ACCESS-CM2,25,0.0125674707815051,0.0173587817698717,0.0146570987999439,0.0202682185918092,300.4310913085937,300.516357421875,304.1125183105469,302.9785461425781
6,ACCESS-CM2,35,0.0125585766509175,0.017587149515748,0.0145635055378079,0.0205365363508462,300.9883117675781,300.7751159667969,304.6861267089844,303.2372741699219
7,ACCESS-CM2,45,0.0123580303043127,0.0177775025367736,0.0142369735985994,0.0207541529089212,301.53826904296875,301.017333984375,305.26641845703125,303.4761962890625
8,ACCESS-CM2,55,0.0119228018447756,0.0179487466812133,0.013675021007657,0.0209380872547626,302.1348876953125,301.2569885253906,305.9074401855469,303.7107849121094
9,ACCESS-CM2,65,0.0112110450863838,0.0181077104061841,0.0128330318257212,0.0211069025099277,302.8380126953125,301.5058898925781,306.6659851074219,303.95831298828125
10,ACCESS-CM2,75,0.0100642582401633,0.0182631257921457,0.0116006694734096,0.0212736278772354,303.7388000488281,301.78326416015625,307.6337890625,304.23944091796875
11,ACCESS-CM2,85,0.008234946988523,0.018441691994667,0.009852610528469,0.0214558467268943,305.04180908203125,302.1378173828125,308.9803466796875,304.6026916503906
12,ACCESS-CM2,90,0.007139166817069,0.0185575801879167,0.0086868936195969,0.021569849923253,305.978271484375,302.3914794921875,309.9290466308594,304.8676452636719
13,ACCESS-CM2,95,0.0059937159530818,0.0187198594212532,0.0074528758414089,0.0217353273183107,307.2868957519531,302.8055725097656,311.29010009765625,305.3103942871094
14,ACCESS-CM2,98,0.0052769617177546,0.0188515037298202,0.0066371448338031,0.0218319296836853,308.5560607910156,303.3677673339844,312.61669921875,305.92218017578125
15,ACCESS-CM2,99,0.004963306710124,0.0188285764306783,0.006237824447453,0.0217392314225435,309.30181884765625,303.8343200683594,313.3716735839844,306.4372253417969
0,ACCESS-ESM1-5,1,0.0137314908206462,0.0169056449085474,0.0158070381730794,0.019439410418272,298.9969177246094,299.7398986816406,302.2402648925781,301.9209899902344
1,ACCESS-ESM1-5,2,0.0138123454526066,0.0169616118073463,0.0158957857638597,0.0195061173290014,299.1329650878906,299.8058776855469,302.37518310546875,301.9891052246094
2,ACCESS-ESM1-5,5,0.0140317408367991,0.0171091761440038,0.0161275118589401,0.0196814928203821,299.4506225585937,299.9714050292969,302.6889953613281,302.1597900390625
3,ACCESS-ESM1-5,10,0.0143222520127892,0.0173206944018602,0.0164214931428432,0.0199306085705757,299.8595886230469,300.1988220214844,303.09393310546875,302.3925170898437
4,ACCESS-ESM1-5,15,0.0145404180511832,0.0175072569400072,0.0166261177510023,0.0201472118496894,300.20166015625,300.3937683105469,303.4385681152344,302.5920104980469
5,ACCESS-ESM1-5,25,0.0148223070427775,0.0178267136216163,0.0168602485209703,0.0205133631825447,300.7942199707031,300.7255554199219,304.05230712890625,302.9289245605469
6,ACCESS-ESM1-5,35,0.0149500397965312,0.0180940404534339,0.0168555881828069,0.0208158455789089,301.3238220214844,301.0084228515625,304.6219177246094,303.2137451171875
7,ACCESS-ESM1-5,45,0.0148675451055169,0.0183210112154483,0.0165930297225713,0.0210665203630924,301.84393310546875,301.2633056640625,305.2060546875,303.4664611816406
8,ACCESS-ESM1-5,55,0.0145570570603013,0.0185196362435817,0.0160527061671018,0.0212740339338779,302.4037170410156,301.5057983398437,305.8552551269531,303.7025451660156
9,ACCESS-ESM1-5,65,0.0139452153816819,0.0187008120119571,0.015147334896028,0.0214519705623388,303.05633544921875,301.7491455078125,306.6330871582031,303.93798828125
10,ACCESS-ESM1-5,75,0.0128396218642592,0.01887116022408,0.0137426424771547,0.0216150395572185,303.8876342773437,302.0101013183594,307.6380310058594,304.1939392089844
11,ACCESS-ESM1-5,85,0.010864364914596,0.0190443210303783,0.0118543552234768,0.0217745285481214,305.0986022949219,302.3328857421875,309.064453125,304.51385498046875
12,ACCESS-ESM1-5,90,0.0097409728914499,0.0191360227763652,0.0111606623977422,0.0218482427299022,305.9947814941406,302.5561828613281,310.0458984375,304.73956298828125
13,ACCESS-ESM1-5,95,0.0090643959119915,0.0192263219505548,0.0105505529791116,0.0219038166105747,307.2610778808594,302.90802001953125,311.3808288574219,305.10968017578125
14,ACCESS-ESM1-5,98,0.0086458921432495,0.0192908477038145,0.0100126024335622,0.021944772452116,308.5040283203125,303.36383056640625,312.6828308105469,305.6202392578125
15,ACCESS-ESM1-5,99,0.0083827460184693,0.0193429104983806,0.0096735106781125,0.0220130905508995,309.2498779296875,303.7264099121094,313.4654846191406,306.052734375
0,BCC-CSM2-MR,1,0.0126463593915104,0.0160499475896358,0.0141412066295742,0.017976189032197,298.5750427246094,300.7535705566406,301.06842041015625,302.3851013183594
1,BCC-CSM2-MR,2,0.012701854109764,0.0160929337143898,0.0141994142904877,0.0180265828967094,298.6996765136719,300.815673828125,301.1917419433594,302.44439697265625
2,BCC-CSM2-MR,5,0.0128505351021885,0.0162058770656585,0.014348903670907,0.018156461417675,298.982666015625,300.9631042480469,301.4757995605469,302.5898132324219
3,BCC-CSM2-MR,10,0.0130144525319337,0.01637864112854,0.0145053723827004,0.0183506775647401,299.3602294921875,301.1610107421875,301.8584899902344,302.78863525390625
4,BCC-CSM2-MR,15,0.0131223211064934,0.0165363829582929,0.0146002760156989,0.0185260027647018,299.69000244140625,301.3314514160156,302.19659423828125,302.9574584960937
5,BCC-CSM2-MR,25,0.0132241612300276,0.0168220400810241,0.014657805673778,0.0188440084457397,300.2872009277344,301.63232421875,302.81463623046875,303.2597351074219
6,BCC-CSM2-MR,35,0.0131893083453178,0.0170753858983516,0.0145629215985536,0.0191241409629583,300.8562927246094,301.90643310546875,303.4117126464844,303.5345764160156
7,BCC-CSM2-MR,45,0.0130312601104378,0.0172972027212381,0.0143258133903145,0.0193698927760124,301.43804931640625,302.1661376953125,304.0289611816406,303.7937927246094
8,BCC-CSM2-MR,55,0.0127269094809889,0.0174923557788133,0.0139231653884053,0.0195852909237146,302.0726623535156,302.4219055175781,304.7102966308594,304.04718017578125
9,BCC-CSM2-MR,65,0.0122346403077244,0.0176652483642101,0.0133116077631711,0.0197739209979772,302.8127136230469,302.6818542480469,305.5093994140625,304.3049011230469
10,BCC-CSM2-MR,75,0.0114232832565903,0.0178183671087026,0.012384021654725,0.0199363306164741,303.7502136230469,302.953857421875,306.52081298828125,304.5769958496094
11,BCC-CSM2-MR,85,0.0101026250049471,0.0179645884782075,0.0111035220324993,0.0200684424489736,305.10601806640625,303.2613220214844,307.942138671875,304.8812255859375
12,BCC-CSM2-MR,90,0.0092705991119146,0.018040856346488,0.0103129418566823,0.020121419802308,306.1037902832031,303.4502868652344,308.9520263671875,305.06524658203125
