model,period,span,startShared,stopShared
ACCESS-CM2,abrupt-4xCO2,149,950,1099
ACCESS-CM2,historical,164,1850,2014
ACCESS-CM2,piControl,499,950,1449
ACCESS-CM2,ssp245,85,2015,2100
ACCESS-ESM1-5,abrupt-4xCO2,149,101,250
ACCESS-ESM1-5,historical,164,1850,2014
ACCESS-ESM1-5,piControl,999,101,1100
ACCESS-ESM1-5,ssp245,85,2015,2100
BCC-CSM2-MR,historical,164,1850,2014
BCC-CSM2-MR,ssp245,85,2015,2100
CESM2,abrupt-4xCO2,998,1,999
CESM2,historical,164,1850,2014
CESM2,piControl,1199,1,1200
CESM2,ssp245,85,2015,2100
CESM2-FV2,abrupt-4xCO2,149,1,150
CESM2-FV2,piControl,499,1,500
CESM2-WACCM,abrupt-4xCO2,149,1,150
CESM2-WACCM,historical,164,1850,2014
CESM2-WACCM,piControl,498,1,499
CESM2-WACCM,ssp245,85,2015,2100
CMCC-CM2-SR5,abrupt-4xCO2,164,1850,2014
CMCC-CM2-SR5,historical,164,1850,2014
CMCC-CM2-SR5,piControl,499,1850,2349
CMCC-CM2-SR5,ssp245,85,2015,2100
CMCC-ESM2,abrupt-4xCO2,164,1850,2014
CMCC-ESM2,historical,164,1850,2014
CMCC-ESM2,piControl,499,1850,2349
CMCC-ESM2,ssp245,85,2015,2100
CNRM-CM6-1-HR,abrupt-4xCO2,149,1850,1999
CNRM-CM6-1-HR,historical,164,1850,2014
CNRM-CM6-1-HR,piControl,299,1850,2149
CNRM-CM6-1-HR,ssp245,85,2015,2100
CNRM-ESM2-1,abrupt-4xCO2,149,1850,1999
CNRM-ESM2-1,historical,164,1850,2014
CNRM-ESM2-1,piControl,499,1850,2349
CNRM-ESM2-1,ssp245,85,2015,2100
CanESM5,abrupt-4xCO2,150,1850,2000
CanESM5,historical,164,1850,2014
CanESM5,piControl,999,5201,6200
CanESM5,ssp245,85,2015,2100
E3SM-1-0,abrupt-4xCO2,149,1,150
E3SM-1-0,piControl,499,1,500
E3SM-2-0,abrupt-4xCO2,149,1,150
E3SM-2-0,piControl,499,1,500
EC-Earth3,abrupt-4xCO2,159,1850,2009
EC-Earth3,historical,164,1850,2014
EC-Earth3,piControl,500,2259,2759
EC-Earth3,ssp245,35,2015,2050
EC-Earth3-AerChem,abrupt-4xCO2,149,1850,1999
EC-Earth3-AerChem,historical,164,1850,2014
